Pay Period Number,Pay Period Start,Pay Period End,Timesheet Due,Pay Day
1,12/12/15,12/26/15,12/28/15,12/31/15
2A,12/27/15,1/2/16,1/4/16,1/8/16
2B,1/3/16,1/9/16,1/11/16,1/15/16
3,1/10/16,1/23/16,1/25/16,1/29/16
4,1/24/16,2/6/16,2/8/16,2/12/16
5,2/7/16,2/20/16,2/22/16,2/26/16
6,2/21/16,3/5/16,3/7/16,3/11/16
7,3/6/16,3/19/16,3/21/16,3/25/16
8,3/20/16,4/2/16,4/4/16,4/8/16
9,4/3/16,4/16/16,4/18/16,4/22/16
10,4/17/16,4/30/16,5/2/16,5/6/16
11,5/1/16,5/14/16,5/16/16,5/20/16
12,5/15/16,5/28/16,5/30/16,6/3/16
13,5/29/16,6/11/16,6/13/16,6/17/16
14,6/12/16,6/25/16,6/27/16,7/1/16
1,6/26/16,7/9/16,7/11/16,7/15/16
16,7/10/16,7/23/16,7/25/16,7/29/16
17,7/24/16,8/6/16,8/8/16,8/12/16
18,8/7/16,8/20/16,8/22/16,8/26/16
19,8/21/16,9/3/16,9/5/16,9/9/16
20,9/4/16,9/17/16,9/19/16,9/23/16
21,9/18/16,10/1/16,10/3/16,10/7/16
22,10/2/16,10/15/16,10/17/16,10/21/16
23,10/16/16,10/29/16,10/31/16,11/4/16
24,10/30/16,11/12/16,11/14/16,11/18/16
25,11/13/16,11/26/16,11/28/16,12/2/16
26,11/27/16,12/10/16,12/12/16,12/16/16
1,1/14/00,12/24/16,1/14/00,1/14/00
2A,12/25/16,12/31/16,1/2/17,1/6/17
2B,1/1/17,1/14/17,1/9/17,1/13/17
2,1/15/17,1/28/17,1/23/17,1/27/17
3,1/29/17,2/11/17,2/6/17,2/10/17
4,2/12/17,2/25/17,2/20/17,2/24/17
5,2/26/17,3/11/17,3/6/17,3/10/17
6,3/12/17,3/25/17,3/20/17,3/24/17
7,3/26/17,4/8/17,4/3/17,4/7/17
8,4/9/17,4/22/17,4/17/17,4/21/17
9,4/23/17,5/6/17,5/1/17,5/5/17
10,5/7/17,5/20/17,5/15/17,5/19/17
11,5/21/17,6/3/17,5/29/17,6/2/17
12,6/4/17,6/17/17,6/12/17,6/16/17
13,6/18/17,7/1/17,6/26/17,6/30/17
14,7/2/17,7/15/17,7/10/17,7/14/17
15,7/16/17,7/29/17,7/24/17,7/28/17
16,7/30/17,8/12/17,8/7/17,8/11/17
17,8/13/17,8/26/17,8/21/17,8/25/17
18,8/27/17,9/9/17,9/4/17,9/8/17
19,9/10/17,9/23/17,9/18/17,9/22/17
20,9/24/17,10/7/17,10/2/17,10/6/17
21,10/8/17,10/21/17,10/16/17,10/20/17
22,10/22/17,11/4/17,10/30/17,11/3/17
23,11/5/17,11/18/17,11/13/17,11/17/17
24,11/19/17,12/2/17,11/27/17,12/1/17
25,12/3/17,12/16/17,12/11/17,12/15/17
26,12/17/17,12/30/17,12/25/17,12/29/17
1,12/24/17,1/6/18,1/8/18,1/12/18
2,1/7/18,1/20/18,1/22/18,1/26/18
3,1/21/18,2/3/18,2/5/18,2/9/18
4,2/4/18,2/17/18,2/19/18,2/23/18
5,2/18/18,3/3/18,3/5/18,3/9/18
6,3/4/18,3/17/18,3/19/18,3/23/18
7,3/18/18,3/31/18,4/2/18,4/6/18
8,4/1/18,4/14/18,4/16/18,4/20/18
9,4/15/18,4/28/18,4/30/18,5/4/18
10,4/29/18,5/12/18,5/14/18,5/18/18
11,5/13/18,5/26/18,5/28/18,6/1/18
12,5/27/18,6/9/18,6/11/18,6/15/18
13,6/10/18,6/23/18,6/25/18,6/29/18
14,6/24/18,7/7/18,7/9/18,7/13/18
15,7/8/18,7/21/18,7/23/18,7/27/18
16,7/22/18,8/4/18,8/6/18,8/10/18
17,8/5/18,8/18/18,8/20/18,8/24/18
18,8/19/18,9/1/18,9/3/18,9/7/18
19,9/2/18,9/15/18,9/17/18,9/21/18
20,9/16/18,9/29/18,10/1/18,10/5/18
21,9/30/18,10/13/18,10/15/18,10/19/18
22,10/14/18,10/27/18,10/29/18,11/2/18
23,10/28/18,11/10/18,11/12/18,11/16/18
24,11/11/18,11/24/18,11/26/18,11/30/18
25,11/25/18,12/8/18,12/10/18,12/14/18
26,12/9/18,12/22/18,12/24/18,12/28/18
1,12/20/19,1/2/20,1/4/20,1/8/20
2,1/3/20,1/16/20,1/18/20,1/22/20
3,1/17/20,1/30/20,2/1/20,2/5/20
4,1/31/20,2/13/20,2/15/20,2/19/20
5,2/14/20,2/27/20,2/29/20,3/4/20
6,2/28/20,3/12/20,3/14/20,3/18/20
7,3/13/20,3/26/20,3/28/20,4/1/20
8,3/27/20,4/9/20,4/11/20,4/15/20
9,4/10/20,4/23/20,4/25/20,4/29/20
10,4/24/20,5/7/20,5/9/20,5/13/20
11,5/8/20,5/21/20,5/23/20,5/27/20
12,5/22/20,6/4/20,6/6/20,6/10/20
13,6/5/20,6/18/20,6/20/20,6/24/20
14,6/19/20,7/2/20,7/4/20,7/8/20
15,7/3/20,7/16/20,7/18/20,7/22/20
16,7/17/20,7/30/20,8/1/20,8/5/20
17,7/31/20,8/13/20,8/15/20,8/19/20
18,8/14/20,8/27/20,8/29/20,9/2/20
19,8/28/20,9/10/20,9/12/20,9/16/20
20,9/11/20,9/24/20,9/26/20,9/30/20
21,9/25/20,10/8/20,10/10/20,10/14/20
22,10/9/20,10/22/20,10/24/20,10/28/20
23,10/23/20,11/5/20,11/7/20,11/11/20
24,11/6/20,11/19/20,11/21/20,11/25/20
25,11/20/20,12/3/20,12/5/20,12/9/20
26,12/4/20,12/17/20,12/19/20,12/23/20
27,12/18/20,12/31/20,1/2/21,1/6/21
